ptz_num	pitch	yaw	zoom	f
23	-82.42	321.67	44.0	8738.099999999999
24	-81.47	313.67	44.0	8738.099999999999
25	-80.9	304.8	39.2	7840.932000000001
26	-72.74000000000001	321.14	13.6	3056.036
27	-72.74000000000001	298.16	13.6	3056.036
28	-81.36	294.52	34.4	6943.763999999999
29	-80.76	283.16	34.4	6943.763999999999
30	-81.05	273.92	34.4	6943.763999999999
31	-72.22	275.04	15.2	3355.0919999999996
32	-72.22	254.12	12.4	2831.744
33	-80.98	263.74	32.0	6495.18
34	-84.71	261.94	53.6	10532.436
35	-81.52	253.67	36.4	7317.583999999999
36	-85.66	255.97	82.4	15915.444
37	-85.66	251.53	82.4	15915.444
38	-85.66	246.37	82.4	15915.444
39	-85.76	241.74	82.4	15915.444
40	-85.76	236.98	82.4	15915.444
41	-85.01	232.16	82.4	15915.444
42	-81.52	243.47	36.4	7317.583999999999
43	-81.52	233.76	35.2	7093.2919999999995
44	-81.52	223.63	35.2	7093.2919999999995
45	-71.67	227.83	13.6	3056.036
46	-81.52	213.34	35.2	7093.2919999999995
47	-82.08	202.76	35.2	7093.2919999999995
48	-82.43	192.28	35.2	7093.2919999999995
49	-70.75	200.57	10.0	2383.16
50	-51.21	333.51	4.0	1261.6999999999998
51	-51.21	274.99	4.0	1261.6999999999998
52	-48.92	221.7	4.0	1261.6999999999998
53	-82.43	181.89	35.2	7093.2919999999995
54	-81.01	169.8	25.6	5298.956
55	-81.01	156.02	25.6	5298.956
56	-81.03999999999999	141.24	25.6	5298.956
57	-70.22	171.0	8.8	2158.868
58	-70.22	139.72	8.8	2158.868
59	-70.22	107.02	8.8	2158.868
60	-82.65	127.39	25.6	5298.956
61	-85.48	122.29	42.8	8513.807999999999
62	-85.48	113.4	42.8	8513.807999999999
63	-81.94	113.44	28.8	5897.067999999999
64	-82.4	101.17	28.8	5897.067999999999
65	-82.4	88.78	28.8	5897.067999999999
66	-82.14	76.97	28.8	5897.067999999999
67	-82.14	64.23	28.8	5897.067999999999
68	-70.95	74.34	8.8	2158.868
69	-47.49	151.05	4.0	1261.6999999999998
70	-56.5	92.36	4.0	1261.6999999999998
71	-49.370000000000005	49.89	4.0	1261.6999999999998
72	-70.95	42.54	11.6	2682.216
73	-68.1	21.28	11.6	2682.216
74	-79.53	22.07	30.8	6270.888000000001
75	-80.09	33.71	30.8	6270.888000000001
76	-80.67	42.41	38.0	7616.639999999999
77	-81.91	52.59	32.4	6569.9439999999995
78	-84.38	43.42	55.6	10906.256
79	-84.38	36.99	56.8	11130.547999999999
80	-72.74000000000001	340.09	17.2	3728.912
81	-69.46000000000001	352.76	12.0	2756.98
82	-47.03	338.31	4.0	1261.6999999999998
83	-20.86999999999999	25.52	4.0	1261.6999999999998
84	-18.61999999999999	260.04	4.0	1261.6999999999998
85	-14.309999999999988	151.99	4.0	1261.6999999999998
